date,mean_score,median_score,std_dev,count
2023-07-28,2.58,3.0,1.49,55
2023-07-29,3.72,4.0,2.23,43
2023-07-30,3.58,3.0,2.26,62
2023-07-31,3.04,3.0,1.61,23
2023-08-01,3.15,3.0,1.59,27
2023-08-02,2.97,3.0,1.54,30
2023-08-03,3.34,4.0,1.68,41
2023-08-04,3.07,3.0,1.67,56
2023-08-05,3.24,3.0,2.19,54
2023-08-06,3.13,3.0,1.92,38
2023-08-07,3.18,3.5,1.72,28
2023-08-08,3.59,4.0,1.45,27
2023-08-09,3.7,4.0,1.9,37
2023-08-10,2.79,3.0,1.56,38
2023-08-11,3.72,4.0,2.47,47
2023-08-12,3.17,3.0,1.54,47
2023-08-13,3.52,4.0,1.6,42
2023-08-14,2.73,2.0,2.25,22
2023-08-15,2.83,3.0,1.36,29
2023-08-16,3.04,2.5,1.93,28
2023-08-17,3.57,4.0,1.88,37
2023-08-18,3.7,3.0,1.73,43
2023-08-19,4.25,5.0,1.38,36
2023-08-20,2.55,2.0,1.8,29
2023-08-21,3.6,3.0,1.87,35
2023-08-22,4.76,5.0,2.64,34
2023-08-23,3.92,4.0,2.16,39
2023-08-24,3.3,4.0,2.14,23
2023-08-25,3.03,3.0,1.99,39
2023-08-26,3.52,4.0,2.17,33
2023-08-27,3.42,3.5,2.06,24
2023-08-28,3.67,3.5,1.92,58
2023-08-29,3.61,4.0,1.6,33
2023-08-30,2.76,3.0,1.75,29
2023-08-31,4.12,5.0,2.37,41
2023-09-01,3.58,4.0,2.59,31
2023-09-02,2.35,2.0,1.18,51
2023-09-03,2.76,2.5,1.74,70
2023-09-04,2.76,3.0,1.67,37
2023-09-05,3.21,3.0,1.97,34
2023-09-06,3.15,2.0,2.05,33
2023-09-07,2.53,2.5,1.83,36
2023-09-08,2.46,2.0,1.62,39
2023-09-09,2.78,3.0,1.31,41
2023-09-10,3.63,4.0,1.94,27
2023-09-11,2.5,2.0,2.53,14
2023-09-12,2.67,2.0,1.41,18
2023-09-13,2.58,2.0,1.65,31
2023-09-14,2.57,2.0,1.71,37
2023-09-15,2.88,3.0,1.82,41
2023-09-16,3.15,3.0,2.03,39
2023-09-17,2.21,2.0,1.61,29
2023-09-18,2.44,2.0,1.19,39
2023-09-19,2.25,2.0,1.57,36
2023-09-20,3.35,3.0,2.0,57
2023-09-21,3.56,4.0,2.11,45
2023-09-22,3.3,3.0,2.21,53
2023-09-23,3.39,3.0,2.2,49
2023-09-24,3.57,3.0,2.51,30
2023-09-25,3.78,3.0,2.13,23
2023-09-26,3.0,4.0,2.0,23
2023-09-27,3.0,3.0,1.41,26
2023-09-28,3.63,4.0,2.34,19
2023-09-29,2.74,2.0,1.43,27
2023-09-30,2.58,2.0,2.03,36
2023-10-01,2.9,3.0,1.57,29
2023-10-02,3.07,3.0,2.02,27
2023-10-03,3.15,3.0,1.13,34
2023-10-04,3.48,3.0,2.56,33
2023-10-05,3.54,4.0,2.14,26
2023-10-06,3.19,3.0,1.42,27
2023-10-07,3.2,3.0,1.08,15
2023-10-08,3.94,3.5,1.8,18
2023-10-09,2.83,3.0,1.54,18
2023-10-10,3.3,3.0,1.77,23
2023-10-11,2.85,3.0,1.31,20
2023-10-12,3.35,3.0,1.84,17
2023-10-13,2.65,3.0,1.45,31
2023-10-14,2.7,3.0,1.3,20
2023-10-15,3.06,3.0,1.66,18
2023-10-16,4.37,5.0,1.86,27
2023-10-17,2.95,4.0,1.39,19
2023-10-18,3.88,4.0,1.92,24
2023-10-19,2.96,3.0,1.55,24
2023-10-20,3.17,3.0,1.84,30
2023-10-21,3.54,3.0,1.26,28
2023-10-22,3.26,4.0,1.45,19
2023-10-23,3.36,3.0,2.16,11
2023-10-24,4.05,4.0,2.8,19
2023-10-25,3.46,4.0,1.88,26
2023-10-26,2.24,2.0,1.24,29
2023-10-27,2.91,3.0,2.31,22
2023-10-28,3.27,3.0,1.8,22
2023-10-29,3.07,3.0,1.33,29
2023-10-30,3.29,3.0,1.47,31
2023-10-31,3.56,3.0,1.9,16
2023-11-01,3.73,3.0,2.62,22
2023-11-02,3.0,2.0,1.85,26
2023-11-03,2.82,3.0,1.84,40
2023-11-04,3.66,3.0,2.18,47
2023-11-05,3.07,2.0,2.59,29
2023-11-06,3.88,3.5,2.33,24
2023-11-07,3.3,4.0,1.69,23
2023-11-08,4.0,4.0,2.63,14
2023-11-09,2.88,3.0,2.08,26
2023-11-10,5.05,5.0,2.41,43
2023-11-11,3.15,3.0,1.59,26
2023-11-12,2.11,2.0,1.37,19
2023-11-13,2.46,3.0,1.67,24
2023-11-14,3.0,3.0,1.56,10
2023-11-15,2.58,2.0,1.26,31
2023-11-16,2.68,2.0,1.86,19
2023-11-17,2.71,3.0,1.61,38
2023-11-18,2.57,3.0,1.85,28
2023-11-19,2.75,2.5,1.53,28
2023-11-20,2.92,3.0,1.64,24
2023-11-21,1.81,2.0,1.25,21
2023-11-22,2.76,2.0,1.89,33
2023-11-23,3.43,3.0,1.89,37
2023-11-24,3.88,4.0,2.05,43
2023-11-25,2.82,2.0,1.65,50
